date,url,type
1441979479,https://twitter.com/TheLantern/status/642334607510228992,news
1441981813,https://twitter.com/TheLantern/status/642344398630559744,news
1441983628,https://twitter.com/TheLantern/status/642352012575817729,news
1441987314,https://twitter.com/TheLantern/status/642367471723409408,news
1441989014,https://twitter.com/TheLantern/status/642374603432677376,news
1442012239,https://twitter.com/TheLantern/status/642472012670103552,ad
1442012247,https://twitter.com/TheLantern/status/642472046908211200,announcement
1442017916,https://twitter.com/Pinoptimist/status/642495826464538624,retweet
1442086161,https://twitter.com/TheLantern/status/642782066556444673,news
1442091757,https://twitter.com/LanternSports/status/642805535289556993,retweet
1442098720,https://twitter.com/TheLantern/status/642834742661005313,news
